,AB,EX_CODE,PAIR,PRICE,TIMESTAMP,TRADE_SIZE
0,A,GDAX,BCHUSD,714.45,1533304270194,0.2652
1,A,GDAX,BCHUSD,714.45,1533304270216,5.23647264
2,A,GDAX,BCHUSD,714.46,1533304270220,0.02589047
3,A,GDAX,BCHUSD,714.46,1533304270223,0.01329424
4,A,GDAX,BCHUSD,714.46,1533304270250,0.01329653
5,A,GDAX,BCHUSD,714.47,1533304270250,0.00045584
6,A,GDAX,BCHUSD,714.47,1533304270250,0.02403408
7,A,GDAX,BCHUSD,714.48,1533304270250,0.02449136
8,A,GDAX,BCHUSD,714.49,1533304270250,0.01469487
9,A,GDAX,BCHUSD,714.5,1533304270250,0.01189262
10,A,GDAX,BCHUSD,714.51,1533304270251,0.01329397
11,A,GDAX,BCHUSD,714.52,1533304270251,0.04548325
12,A,GDAX,BCHUSD,714.53,1533304270251,0.01189186
13,A,GDAX,BCHUSD,714.54,1533304270258,0.01888913
14,A,GDAX,BCHUSD,714.55,1533304270259,0.01189342
15,A,GDAX,BCHUSD,714.56,1533304270336,0.01189323
16,A,GDAX,BCHUSD,714.57,1533304270337,0.01189425
17,A,GDAX,BCHUSD,714.58,1533304270337,0.01329341
18,A,GDAX,BCHUSD,714.59,1533304270337,0.01189194
19,A,GDAX,BCHUSD,714.6,1533304270337,0.82550806
20,A,BITF,BCHUSD,717.01,1533304270407,2.0
21,A,BITF,BCHUSD,717.01,1533304270407,0.3526
22,A,BITF,BCHUSD,717.01,1533304270407,7.276
23,A,BITF,BCHUSD,717.01,1533304270990,0.28245994
24,A,BITF,BCHUSD,717.14,1533304279325,2.3028
25,A,BITF,BCHUSD,717.14,1533304283620,0.32487477
26,A,BITF,BCHUSD,717.14,1533304289881,0.375
27,A,BITF,BCHUSD,717.14,1533304289881,0.125
28,A,BITF,BCHUSD,717.14,1533304289881,0.375
29,A,BITF,BCHUSD,717.14,1533304289881,0.125
30,A,BITF,BCHUSD,717.14,1533304290711,7.5
31,A,BITF,BCHUSD,717.14,1533304290711,1.22507848
32,A,BITF,BCHUSD,717.14,1533304290711,0.19992152
33,A,BITF,BCHUSD,717.26,1533304291442,1.075
34,A,GDAX,BCHUSD,714.6,1533304307074,0.00016194
35,A,GDAX,BCHUSD,715.24,1533304307074,0.14
36,A,GDAX,BCHUSD,715.32,1533304307074,0.05
37,A,GDAX,BCHUSD,715.62,1533304307074,11.28859116
38,A,GDAX,BCHUSD,715.8,1533304317211,0.02165015
39,A,GDAX,BCHUSD,715.8,1533304317211,0.42608985
40,A,GDAX,BCHUSD,715.81,1533304322185,0.01466656
41,A,GDAX,BCHUSD,715.81,1533304322185,0.0272378
42,A,GDAX,BCHUSD,715.82,1533304322186,0.02444476
43,A,GDAX,BCHUSD,715.83,1533304322188,1.93365088
44,A,BITF,BCHUSD,717.3,1533304322948,0.023
45,A,GDAX,BCHUSD,715.83,1533304351093,0.0684
46,A,GDAX,BCHUSD,715.83,1533304361625,0.13846912
47,A,GDAX,BCHUSD,715.83,1533304361625,0.07488065
48,A,GDAX,BCHUSD,715.86,1533304361626,0.33981009999999995
49,A,GDAX,BCHUSD,715.86,1533304361627,0.33981009999999995
50,A,GDAX,BCHUSD,716.02,1533304361627,0.02443661
51,A,GDAX,BCHUSD,716.14,1533304361628,0.02443276
52,A,GDAX,BCHUSD,716.38,1533304361629,0.01186137
53,A,GDAX,BCHUSD,716.39,1533304361629,0.01884129
54,A,GDAX,BCHUSD,716.4,1533304361630,0.18535415
55,A,GDAX,BCHUSD,716.4,1533304361632,0.01510385
56,A,BITF,BCHUSD,717.3,1533304365841,1.86885454
57,A,BITF,BCHUSD,717.3,1533304372973,0.10174546
58,A,BITF,BCHUSD,717.43,1533304372973,0.25
59,A,BITF,BCHUSD,717.43,1533304372973,0.64825454
60,A,GDAX,BCHUSD,716.4,1533304373993,0.00094601
61,A,GDAX,BCHUSD,716.54,1533304373997,0.02442212
62,A,GDAX,BCHUSD,716.55,1533304373997,0.01325782
63,A,GDAX,BCHUSD,716.56,1533304373997,0.01277405
64,A,GDAX,BCHUSD,716.56,1533304381523,0.0144
65,A,BITF,BCHUSD,717.43,1533304381955,1.0
66,A,BITF,BCHUSD,717.43,1533304382668,0.10637808
67,A,BITF,BCHUSD,717.43,1533304392323,5.0
68,A,GDAX,BCHUSD,716.56,1533304431635,3.636e-05
69,A,GDAX,BCHUSD,716.66,1533304431636,0.02022939
70,A,GDAX,BCHUSD,716.67,1533304431639,0.01185837
71,A,GDAX,BCHUSD,716.68,1533304431642,0.02162457
72,A,GDAX,BCHUSD,716.69,1533304431642,0.01325252
73,A,GDAX,BCHUSD,716.7,1533304431642,0.01325315
74,A,GDAX,BCHUSD,716.71,1533304431642,0.01185663
75,A,GDAX,BCHUSD,716.72,1533304431649,0.01185914
76,A,GDAX,BCHUSD,716.73,1533304431649,0.02720556
77,A,GDAX,BCHUSD,716.74,1533304431649,0.01185568
78,A,GDAX,BCHUSD,716.75,1533304431649,0.02162246
79,A,GDAX,BCHUSD,716.76,1533304431649,0.01185633
80,A,GDAX,BCHUSD,716.77,1533304431650,0.02441142
81,A,GDAX,BCHUSD,716.78,1533304431654,0.04673571
82,A,GDAX,BCHUSD,716.79,1533304431654,0.01185721
83,A,GDAX,BCHUSD,716.8,1533304431654,0.01604249
84,A,GDAX,BCHUSD,716.81,1533304431655,0.01185658
85,A,GDAX,BCHUSD,716.82,1533304431655,0.01185473
86,A,GDAX,BCHUSD,716.83,1533304431655,0.0146445
87,A,GDAX,BCHUSD,716.84,1533304431655,0.02441024
88,A,GDAX,BCHUSD,716.85,1533304431655,0.01464406
89,A,GDAX,BCHUSD,716.86,1533304431655,0.0132501
90,A,GDAX,BCHUSD,716.87,1533304431655,0.01603847
91,A,GDAX,BCHUSD,716.88,1533304431655,0.32238235
92,A,GDAX,BCHUSD,716.88,1533304441153,1.02617148
93,A,GDAX,BCHUSD,716.88,1533304443834,0.1647
94,A,BITF,BCHUSD,717.43,1533304450136,0.125
95,A,BITF,BCHUSD,717.43,1533304450182,0.125
96,A,BITF,BCHUSD,717.43,1533304450212,0.125
97,A,BITF,BCHUSD,717.43,1533304450223,0.125
98,A,BITF,BCHUSD,717.43,1533304450265,0.5
99,A,GDAX,BCHUSD,716.88,1533304451642,0.68380894
100,A,BITF,BCHUSD,717.43,1533304456316,0.2
101,A,BITF,BCHUSD,717.43,1533304457625,0.2
102,A,BITF,BCHUSD,717.43,1533304468081,0.5
103,A,GDAX,BCHUSD,716.88,1533304479467,0.0271
104,A,GDAX,BCHUSD,716.88,1533304479475,1.55373833
105,A,GDAX,BCHUSD,716.88,1533304479476,0.07488065
106,A,GDAX,BCHUSD,716.88,1533304479477,0.01604123
107,A,GDAX,BCHUSD,717.09,1533304479534,0.02719139
108,A,GDAX,BCHUSD,717.1,1533304479534,0.02440111
109,A,GDAX,BCHUSD,717.11,1533304479534,0.01464059
110,A,GDAX,BCHUSD,717.12,1533304479534,0.01742703
111,A,GDAX,BCHUSD,717.13,1533304479534,0.01185209
112,A,GDAX,BCHUSD,717.14,1533304479535,0.01882171
113,A,GDAX,BCHUSD,717.15,1533304479540,0.02718921
114,A,GDAX,BCHUSD,717.16,1533304479540,0.05228592
115,A,GDAX,BCHUSD,717.17,1533304479541,0.01139095
116,A,GDAX,BCHUSD,717.17,1533304479578,0.00045769
117,A,GDAX,BCHUSD,717.18,1533304479582,0.02440074
118,A,GDAX,BCHUSD,717.19,1533304479582,0.02021616
119,A,GDAX,BCHUSD,717.2,1533304479582,0.02718792
120,A,GDAX,BCHUSD,717.21,1533304479583,0.02579224
121,A,GDAX,BCHUSD,717.22,1533304479584,0.01534525
122,A,GDAX,BCHUSD,717.22,1533304479584,0.0006862
123,A,GDAX,BCHUSD,717.23,1533304479587,0.0153138
124,A,GDAX,BCHUSD,717.23,1533304479593,0.03696834
125,A,GDAX,BCHUSD,717.24,1533304479594,0.01324275
126,A,GDAX,BCHUSD,717.25,1533304479596,0.01882184
127,A,GDAX,BCHUSD,717.26,1533304479603,0.0132
128,A,GDAX,BCHUSD,717.26,1533304479826,4.481e-05
129,A,GDAX,BCHUSD,717.27,1533304479826,0.01602887
130,A,GDAX,BCHUSD,717.28,1533304479826,0.01442632
