,AB,EX_CODE,PAIR,PRICE,TIMESTAMP,TRADE_SIZE
0,B,BITF,BCHUSD,717.0,1533304271479,1.78217691
1,B,BITF,BCHUSD,717.0,1533304271479,0.02042641
2,B,BITF,BCHUSD,717.0,1533304271491,2.7
3,B,BITF,BCHUSD,717.0,1533304271491,3.5
4,B,BITF,BCHUSD,717.0,1533304271491,1.99739668
5,B,GDAX,BCHUSD,715.79,1533304307347,0.3753
6,B,BITS,BCHUSD,715.87,1533304311527,0.03
7,B,BITF,BCHUSD,717.29,1533304317277,1.0
8,B,GDAX,BCHUSD,715.82,1533304328239,0.03354343
9,B,BITS,BCHUSD,716.05,1533304344201,0.02537342
10,B,GDAX,BCHUSD,715.82,1533304355303,2.0
11,B,GDAX,BCHUSD,716.39,1533304362684,0.0684
12,B,BITF,BCHUSD,717.42,1533304396709,0.13
13,B,GDAX,BCHUSD,716.55,1533304411484,0.02
14,B,GDAX,BCHUSD,716.55,1533304411498,0.0144
15,B,BITF,BCHUSD,717.42,1533304411699,0.125
16,B,BITF,BCHUSD,717.42,1533304411747,0.375
17,B,BITF,BCHUSD,717.42,1533304411786,0.125
18,B,BITF,BCHUSD,717.42,1533304411829,0.125
19,B,BITF,BCHUSD,717.42,1533304411829,0.125
20,B,BITF,BCHUSD,717.42,1533304411829,0.125
21,B,BITS,BCHUSD,715.85,1533304428702,0.01
22,B,GDAX,BCHUSD,716.87,1533304432028,0.1647
23,B,GDAX,BCHUSD,717.29,1533304481498,0.22146484
24,B,BITF,BCHUSD,717.42,1533304483075,0.071
25,B,BITF,BCHUSD,717.45,1533304504839,0.02
26,B,BITF,BCHUSD,717.45,1533304504855,0.04056179
27,B,BITF,BCHUSD,717.45,1533304504855,0.12162889
28,B,BITF,BCHUSD,717.46,1533304506746,0.02
29,B,BITF,BCHUSD,717.46,1533304506746,0.006999999999999999
30,B,BITF,BCHUSD,717.46,1533304507292,0.02
31,B,BITF,BCHUSD,719.38,1533304532400,0.29992501
32,B,BITF,BCHUSD,719.41,1533304534271,0.06175701
33,B,BITF,BCHUSD,719.44,1533304540704,0.29992501
34,B,BITF,BCHUSD,719.44,1533304541244,1.09545
35,B,BITF,BCHUSD,719.44,1533304543273,0.14400000000000002
36,B,BITF,BCHUSD,719.45,1533304544923,0.02222136
37,B,BITF,BCHUSD,719.44,1533304544923,0.23717454
38,B,BITS,BCHUSD,717.5,1533304552630,0.01891403
39,B,BITF,BCHUSD,719.46,1533304553343,0.02
40,B,BITF,BCHUSD,719.44,1533304553358,0.0912421
41,B,BITF,BCHUSD,719.46,1533304554419,0.02
42,B,BITF,BCHUSD,719.46,1533304554419,0.98
43,B,BITF,BCHUSD,719.46,1533304554478,0.43476008
44,B,BITS,BCHUSD,717.99,1533304578203,0.02297899
